subject_id	sex	age	height
HG00097	F	47	57
HG00100	F	45	59.3
HG00101	M	40	70
HG00105	M	34	62.4
HG00108	M	47	66.3
HG00110	F	44	62.7
HG00113	M	47	61.2
HG00117	M	52	65.9
HG00118	F	50	63.5
HG00119	M	47	64.6
HG00121	F	50	58.6
HG00123	F	51	55
HG00129	M	43	62.3
HG00130	F	48	71.6
HG00131	M	43	67.9
HG00132	F	40	52.1
HG00137	F	54	56.6
HG00154	F	45	75.3
HG00158	F	46	67.4
HG00233	F	53	59.8
HG00234	M	43	57.2
HG00240	F	38	79.6
HG00243	M	46	72.1
HG00244	M	47	63.2
HG00245	F	48	62.3
HG00250	F	40	71.2
HG00252	M	49	68.9
HG00261	F	49	57.8
HG00263	F	42	56.5
HG00551	F	47	69.6
HG00553	M	40	70.6
HG00554	F	44	59.5
HG00637	M	50	54.8
HG00638	F	44	56.4
HG01051	M	51	67.5
HG01052	F	47	53.7
HG01072	M	42	72.3
HG01073	F	49	66.9
HG01075	M	41	62.4
HG01079	M	46	71.9
HG01080	F	53	64
HG01082	M	38	69.1
HG01083	F	45	60.3
HG01094	M	40	57.8
HG01095	F	52	62.8
HG01104	M	43	62.6
HG01105	F	45	65.2
HG01107	M	50	61.6
HG01108	F	38	60.6
HG01119	F	48	47
HG01148	M	31	63.1
HG01149	F	47	57.2
HG01170	M	35	59.2
HG01171	F	51	63.6
HG01176	M	45	59.3
HG01177	F	45	56.7
HG01182	M	37	65.6
HG01183	F	49	70.7
HG01187	M	44	56.8
HG01188	F	42	64.8
HG01200	M	39	63.7
HG01204	M	53	63.4
HG01205	F	45	63.9
HG01241	M	50	63.7
HG01242	F	32	59.8
HG01269	F	46	61.7
HG01284	F	47	65.5
HG01286	M	38	59.6
HG01365	M	49	67.4
HG01366	F	52	67.9
HG01389	M	42	65.8
HG01390	F	44	61.4
HG01392	M	47	67.2
HG01393	F	42	57.5
HG01395	M	45	58
HG01396	F	35	59.4
HG01412	M	47	66.5
HG01431	M	40	57.8
HG01432	F	40	64.4
HG01437	M	44	66.7
HG01438	F	47	60.7
HG01459	F	57	69.7
HG01461	M	44	65.5
HG01462	F	45	58.2
HG01474	F	37	71.4
HG01485	M	46	70.8
HG01486	F	38	63.3
HG01789	M	49	64.4
HG01882	M	36	59.2
HG01883	F	48	64.1
HG01985	F	45	68.2
HG01990	M	45	63.9
HG02012	F	50	59.5
HG02053	M	58	65.5
HG02054	F	43	58.7
HG02095	F	57	65
HG02111	F	44	51.2
HG02143	M	48	66.2
HG02144	F	46	65.5
HG02215	F	44	62.1
HG02307	M	48	55.7
HG02308	F	48	68.3
HG02314	M	47	57.2
HG02315	F	50	69.5
HG02332	M	47	62.6
HG02339	F	54	59.6
HG02419	F	44	71.2
HG02445	M	38	78.5
HG02455	M	35	63.9
HG02470	M	36	65.2
HG02471	F	42	69.3
HG02476	F	47	63.1
HG02496	M	43	64.8
HG02497	F	46	60.9
HG02511	F	51	57.2
HG02536	M	46	63.8
HG02537	F	46	68.8
HG02541	M	45	68.3
HG02545	M	56	56.7
HG02546	F	46	65.7
HG02549	F	44	54.3
NA06986	M	40	67.3
NA07037	F	45	60.4
NA10847	F	39	69.5
NA10851	M	38	63.2
NA11829	M	50	64.8
NA11830	F	42	64.6
NA11831	M	49	62.6
NA11832	F	53	72.6
NA11918	F	41	66.7
NA11919	M	58	58.5
NA11920	F	43	58.4
NA12058	F	46	67.9
NA12144	M	53	61.5
NA12272	M	58	69.3
NA12273	F	36	64.2
NA12275	F	51	58.7
NA12347	M	55	65.8
NA12348	F	49	59.5
NA12383	F	54	68.6
NA12399	M	51	65.8
NA12400	F	44	59.4
NA12413	M	47	55.6
NA12414	F	40	59.2
NA12489	F	44	73
NA12546	M	51	61.7
NA12760	M	48	64.2
NA12761	F	39	59.4
NA12762	M	54	68
NA12763	F	47	63.2
NA12775	M	41	70.3
NA12776	F	46	73
NA12777	M	43	65.8
NA12778	F	47	59.8
NA12827	M	53	59.1
NA12828	F	50	57
NA12829	M	42	62.9
NA12830	F	49	65.4
NA12842	M	45	69.3
NA12843	F	47	57.8
NA18510	M	45	68.7
NA18519	M	46	64.3
NA18520	F	38	65.2
NA18522	M	45	65.4
NA18523	F	44	63.7
NA18528	F	42	68.9
NA18530	M	41	65.5
NA18533	F	50	60.5
NA18536	M	41	60.6
NA18539	F	42	57.2
NA18543	M	39	55.7
NA18544	M	44	68.1
NA18547	F	46	57.2
NA18550	F	46	62.6
NA18560	F	45	57.1
NA18565	F	45	59.9
NA18571	F	38	65.1
NA18572	M	39	64.9
NA18577	F	41	65.6
NA18591	F	46	55.3
NA18595	F	43	62.3
NA18606	M	53	59.6
NA18610	F	47	58.1
NA18611	M	44	64
NA18614	F	50	65.3
NA18616	F	42	66.6
NA18618	F	40	59
NA18620	M	45	65.1
NA18625	F	57	68.5
NA18627	F	43	60.3
NA18628	F	59	61.1
NA18634	F	46	50
NA18635	M	39	59.6
NA18637	M	54	60.1
NA18641	F	49	60.9
NA18644	F	53	63.4
NA18646	F	47	63.6
NA18747	M	43	67.1
NA18864	F	48	58.1
NA18865	M	45	66.4
NA18878	F	44	64.2
NA18879	M	47	70.6
NA18881	F	40	64.7
NA18909	F	41	60.4
NA18910	M	45	70.3
NA18942	F	54	67.4
NA18944	M	43	59
NA18945	M	40	64.8
NA18946	F	42	65.2
NA18949	F	48	59.9
NA18956	F	46	56.5
NA18957	F	37	64.5
NA18959	M	48	64.3
NA18962	M	50	72.7
NA18969	F	42	60.6
NA18971	M	47	62.6
NA18973	F	47	56.7
NA18975	F	50	68.7
NA18981	F	40	68.5
NA18983	M	38	67
NA18985	M	42	61.5
NA18986	M	50	67.6
NA18989	M	50	59.6
NA18991	F	45	62.4
NA18992	F	43	59.9
NA18995	M	42	65.9
NA18998	F	52	64.2
NA19001	F	61	60.6
NA19002	F	45	53.9
NA19012	M	42	59.2
NA19023	F	44	65.2
NA19025	M	43	58.8
NA19028	M	46	63.6
NA19031	M	41	70.2
NA19042	F	48	64.5
NA19043	M	46	63.1
NA19055	M	46	62.2
NA19057	F	46	58.5
NA19058	M	39	66.3
NA19060	M	48	66.9
NA19063	M	45	67.3
NA19065	F	42	52.7
NA19068	M	49	61.4
NA19072	M	52	64.2
NA19075	M	52	61.9
NA19076	M	40	60.7
NA19078	F	44	62.3
NA19079	M	49	62.8
NA19084	F	46	72.5
NA19092	M	52	58
NA19093	F	34	63
NA19095	F	43	65.8
NA19096	M	55	69
NA19116	F	47	56.1
NA19119	M	49	74.1
NA19121	M	41	67.6
NA19130	M	50	66.3
NA19131	F	40	61.9
NA19143	F	46	63.7
NA19144	M	43	64.4
NA19146	M	46	63.5
NA19147	F	39	63
NA19175	M	40	63.2
NA19184	M	34	58.2
NA19185	F	42	56.3
NA19189	M	43	53.7
NA19190	F	49	68.1
NA19200	M	47	71
NA19201	F	47	65.6
NA19209	F	36	61.3
NA19210	M	44	67
NA19213	M	35	69
NA19214	F	43	71.6
NA19238	F	52	68.7
NA19239	M	41	63
NA19307	M	52	66.8
NA19310	F	48	73.4
NA19315	F	51	56.1
NA19319	M	44	61.4
NA19321	F	49	68.2
NA19332	F	47	66.3
NA19338	F	45	60.3
NA19346	M	51	57.4
NA19347	M	49	67.6
NA19350	M	48	72.9
NA19355	F	44	66.5
NA19360	M	44	62
NA19372	M	46	61.3
NA19378	F	43	51.3
NA19383	M	33	65.3
NA19384	M	38	51.4
NA19390	F	44	62.3
NA19394	M	43	56.9
NA19395	F	48	55.4
NA19397	M	54	65.5
NA19403	F	45	52.8
NA19404	F	46	58.2
NA19431	F	50	58.3
NA19437	F	47	65.7
NA19438	F	47	56.1
NA19443	M	46	64.5
NA19445	F	40	61.8
NA19446	F	45	72.8
NA19452	M	41	58.1
NA19454	M	43	60.2
NA19456	F	42	61.1
NA19462	F	47	69.7
NA19625	F	36	61.8
NA19657	F	49	56.3
NA19658	M	38	62.7
NA19661	M	44	66.6
NA19663	F	43	63
NA19664	M	44	67.9
NA19669	F	52	67
NA19670	M	42	68.7
NA19676	M	41	63.4
NA19740	F	38	61.1
NA19741	M	51	72
NA19752	F	42	59.8
NA19785	F	39	72.4
NA19786	M	47	61.5
NA19834	M	46	62.2
NA19835	F	51	61.8
NA19908	M	44	67.1
NA19909	F	45	62.6
NA19913	F	48	59.7
NA19914	F	39	67.4
NA19920	M	46	70.6
NA19921	F	48	53
NA19922	M	44	62.5
NA19923	F	50	56.1
NA20126	M	50	67.1
NA20127	F	46	65
NA20278	M	53	68.2
NA20282	F	49	57
NA20291	M	49	74
NA20294	F	37	57.7
NA20299	F	32	56.5
NA20332	F	45	62.2
NA20339	F	42	60.3
NA20340	M	48	67.8
NA20362	M	49	69.5
NA20856	F	48	65.4
NA20859	F	44	56
NA20861	M	45	75.9
NA20862	F	48	65.6
NA20863	M	46	74.3
NA20870	M	36	73.2
NA20874	F	51	56.3
NA20877	F	44	71.8
NA20885	M	41	52.5
NA20886	F	49	62.1
NA20890	M	50	69.1
NA20903	M	41	70
NA20906	F	48	60
NA20908	F	51	60
NA20911	M	47	58.8
NA21087	M	50	70
NA21088	F	50	70.6
NA21094	M	48	66.2
NA21098	M	44	68.1
NA21099	M	43	60.8
NA21104	M	45	67.1
NA21106	F	53	68.6
NA21108	F	44	64.3
NA21111	M	47	65.8
NA21115	M	50	62.6
NA21116	M	44	70.3
NA21122	F	46	68.3
NA21127	M	45	59.6
NA21128	M	48	59.3
NA21129	M	37	60.7
NA21135	M	41	62
NA21142	F	50	58.3
